Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,planning_year,model,percent_total,case
cStart,4503460781.6,5.772722344952363e7,1.1985199807305448e8,1.2338998224814808e8,5.977863371523793e8,1.3073872037598412e8,1.5429314012163407e8,1.2123536889189218e8,2.119740432857699e8,1.3510775873343858e8,2.0966110723829534e7,6.103387954514227e7,5.3841580859246805e7,8.602495830623418e7,1.2865407130410469e8,4.6921942244618857e8,5.617925130971204e8,1.6545492856919559e7,1.917545655346924e7,1.3553255429939257e7,7.175639025045791e7,2.0871714070450407e8,1.6155419606647924e8,4.2054004106185514e8,6.721760984676996e7,4.469220629631269e8,4.384202723264904e7,2030,GenX,0.0,full-base-1000
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,GenX,0.0,full-base-1000
cNetworkExp,5935168012.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,GenX,0.0,full-base-1000
cUnmetPolicyPenalty,6809127926.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,GenX,0.0,full-base-1000
cFix,166593777890.9,5.35021848694e9,3.57362675362e9,4.343746277189999e9,9.374234368479998e9,7.42190553718e9,8.78470750079e9,4.2158174288700013e9,5.08380716338e9,1.017510133899e10,6.080136356230001e9,9.047850526999998e7,4.718465123010001e9,3.3156058936900005e9,3.7063055422e9,7.182741279459999e9,1.6641879678749992e10,5.47133458094e9,2.9033087083099995e9,2.7573031598100004e9,8.462407973139999e9,8.458034090450001e9,8.77237909589e9,8.980124051680002e9,4.99087617441e9,1.3081987032789999e10,2.65724578945e9,2035,GenX,0.7,full-base-1000
cVar,47260949714.3,3.130131595461993e8,1.7408268477697992e9,2.2942515914759965e9,5.316453675731856e9,1.1817737299023218e9,2.2776965292120123e9,1.3635099750234113e9,2.0102212514204907e9,1.73940672162056e9,3.3574675306778514e8,1.2837127609707318e8,4.3673145727341884e8,1.0576853149785634e9,7.739791984604344e8,2.2618151655721316e9,9.23408472866426e9,5.681274278055713e7,1.4272422211497515e8,7.78401385597238e7,2.3745373218761653e8,3.485264014377704e9,2.0850137768261101e9,4.2554689332446103e9,6.412429764694892e8,3.687637816738317e9,1.2592398514159007e8,2035,GenX,0.2,full-base-1000
cNSE,355999563.5,10529.590074676511,10975.815947629972,10514.642889876297,9791.329978854308,3.330895466299129e8,10265.239713697942,10543.998205036007,10198.911100411073,9.658069203129243e6,9689.752210148901,1.1200815608060097e7,10853.440193137147,10484.808859763596,10916.257791079748,9969.958361907664,10032.624742398362,10335.72658121741,10588.86496335941,10508.355383739037,10159.391980314444,1.8250769922860381e6,10035.363016007335,10117.495130635161,10396.156366701109,9105.652999804484,10041.645434100272,2035,GenX,0.0,full-base-1000
cStart,7754362606.6,1.0211500541023053e8,2.369953150886764e8,3.4007828175973916e8,8.704370796950791e8,2.690370532073787e8,3.5539761603472835e8,1.9118078245566365e8,3.758181093249114e8,3.219730129503706e8,6.568450792054783e7,7.418405028816211e7,6.211283620320865e7,9.362779375031143e7,1.7996020694903806e8,5.375726037189867e8,1.215973727026583e9,2.3952948284640115e7,2.1386681437064793e7,1.3103012855383772e7,8.540240731582117e7,4.141541422304957e8,3.174858665523477e8,7.022156177455306e8,1.2130409163447307e8,7.219802214192917e8,4.122963535117838e7,2035,GenX,0.0,full-base-1000
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,GenX,0.0,full-base-1000
cNetworkExp,8683272712.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,GenX,0.0,full-base-1000
cUnmetPolicyPenalty,8793302853.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,GenX,0.0,full-base-1000
cFix,195843885885.3,6.505106116489999e9,4.271035294169999e9,6.36848113931e9,1.1194243181100002e10,1.026438350265e10,9.8636228275e9,4.500699658530001e9,5.942365010770001e9,1.2508709098259996e10,7.644951694009999e9,2.6668148835e8,4.93462448129e9,3.4228042311299996e9,3.9390737737999997e9,7.13058563507e9,2.038668635833e10,6.39087062831e9,3.173583532620001e9,3.17833796094e9,9.28049583867e9,9.36163089849e9,9.98463494481e9,1.027716918561e10,6.37700773089e9,1.57876325999e10,2.8884690742699995e9,2040,GenX,0.7,full-base-1000
cVar,53130995705.0,2.484858598167066e8,2.140683902997099e9,2.7929247318152275e9,5.588137824293402e9,1.7286133210248618e9,2.533726244135055e9,1.5080051649821286e9,2.279883378564479e9,2.171462956193101e9,7.912916821989254e8,7.706081333293827e7,3.7175677742064655e8,9.82444395163305e8,6.040567533517406e8,1.694703140553968e9,1.1635635508545994e10,3.547776990286663e8,1.2621896491434634e8,7.511354875646561e7,1.5078772816252244e8,3.9119161626202755e9,2.2421510256825953e9,4.329893017748752e9,6.653449987942725e8,4.0519411830415587e9,7.397892188527708e7,2040,GenX,0.2,full-base-1000
cNSE,408562335.6,1.1314391117403675e6,22609.741992073996,22618.73817039286,23020.40474148841,3.746157997334765e8,22565.865502932575,22736.362921085463,22581.962216762542,1.0780733906657994e7,1.9203429826864354e7,2.355432201054439e6,22582.210020392387,22509.498668213953,22797.798145619447,23667.618972826403,22688.864033772526,22300.756806959074,22418.04730130545,22149.811300176956,22385.62331106619,22706.124275411064,22758.414352076277,22817.77905538006,22453.156023461383,23156.522068082566,21975.494646714604,2040,GenX,0.0,full-base-1000
cStart,10039078507.0,1.1780987682173097e8,4.2524697072169447e8,6.063127110034043e8,1.0193742011110703e9,2.793753136913747e8,4.735330597022906e8,2.2883615724598494e8,4.836568543287005e8,4.6957955213735735e8,1.6367145863236284e8,5.59443477749433e7,4.913525345060655e7,9.49748822050022e7,1.75322064468267e8,4.331260556148909e8,1.730644335173089e9,1.0203529893590055e8,1.9826734538048238e7,1.3112594107520344e7,8.504142010779554e7,5.756228793126314e8,4.261777539442267e8,8.748882047396818e8,1.5988357275827917e8,9.330172132531617e8,4.292974123974915e7,2040,GenX,0.0,full-base-1000
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2040,GenX,0.0,full-base-1000
cNetworkExp,11437288906.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2040,GenX,0.0,full-base-1000
cUnmetPolicyPenalty,8894107714.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2040,GenX,0.0,full-base-1000
cFix,242796747594.4,8.2783986631e9,6.001880795839999e9,8.5691303047e9,1.4302120391809996e10,1.213093367527e10,1.1461176315859999e10,5.341963399000001e9,7.329880885440001e9,1.487483508526e10,9.554244977930002e9,6.8490303018e8,5.609127523210001e9,4.43811213925e9,6.0230427726900015e9,9.000965309619997e9,2.3675358629719997e10,8.549258643830001e9,3.8019163390900006e9,3.95362106527e9,1.1038182568659996e10,1.1257008674789997e10,1.227206510678e10,1.3048598153020004e10,8.63903901775e9,1.938719985194e10,3.57378427442e9,2045,GenX,0.7,full-base-1000
cVar,57760433909.6,8.908374169397428e8,2.339828686779013e9,2.500820759963761e9,5.559937358992503e9,3.0568908602987266e9,2.6121124574278483e9,1.6059932547763577e9,2.5280066455992312e9,2.1897986226537213e9,1.1561790843909056e9,4.771336835901535e8,3.8066102001797396e8,1.0230523285928067e9,6.705760751421854e8,2.153522170525547e9,1.2241289237349302e10,2.6129460839644518e8,1.406149629412532e8,8.654954114785954e7,1.1959461244010372e8,4.1720710800522676e9,2.3382105567930255e9,4.071917086010055e9,1.2021991726567588e9,3.941467692693521e9,3.987493343169356e7,2045,GenX,0.2,full-base-1000
cNSE,44856737.1,9464.089901502413,9029.726951187547,9797.112484244555,9078.47138074974,869307.6212441239,9240.774365312573,8726.631922960787,9128.516357363467,5.320961306871373e6,3.845578739107924e7,9343.747673776961,8662.287308410376,9001.683617274573,9152.020803197986,9804.56014326065,9360.761015659655,9179.44995604698,8935.695302255235,8625.616565713044,9149.16994953029,9092.30091271592,9349.356988803793,9141.86670248953,9402.771631835321,9912.773969590673,8101.3574273377435,2045,GenX,0.0,full-base-1000
cStart,9075575531.9,1.9492193375005594e8,3.8604676804478514e8,4.005617214641149e8,7.83845053303089e8,3.655708584231668e8,4.3922241597223574e8,2.306603772669377e8,4.352290457432035e8,4.100256319293325e8,2.1411048895885533e8,7.423142392227498e7,3.368487404086923e7,5.980373688963425e7,9.103585677266578e7,2.849126847036698e8,1.7228033196978471e9,6.998843705944204e7,1.7559092261619378e7,1.2141930796284415e7,4.754061505842666e7,5.650164919805537e8,4.2520117821368575e8,8.177696137977687e8,2.0841180837102082e8,7.636295517810646e8,2.1650621713849872e7,2045,GenX,0.0,full-base-1000
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2045,GenX,0.0,full-base-1000
cNetworkExp,14331305209.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2045,GenX,0.0,full-base-1000
cUnmetPolicyPenalty,3672302285.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2045,GenX,0.0,full-base-1000
cFix,275227441494.8,9.768221652339998e9,7.45179989014e9,9.806065273669998e9,1.6440187939030003e10,1.250493289346e10,1.272762608362e10,5.503482602370001e9,7.86679458978e9,1.6570093785459997e10,1.1435408621779999e10,8.539016870699999e8,6.291374888619999e9,5.463472219280001e9,7.1548648538e9,1.080766220978e10,2.5435901318169994e10,9.96490564166e9,4.037441266950001e9,4.78678942757e9,1.3077879928300003e10,1.292096359388e10,1.3746039513749998e10,1.489732339275e10,1.007303767202e10,2.159286929665001e10,4.04840125287e9,2050,GenX,0.7,full-base-1000
cVar,52962471102.6,7.053943365540575e8,2.1290445511014454e9,2.2860450439266663e9,5.177868602191996e9,2.9616066331053066e9,2.2019375675582976e9,1.4524661396574316e9,2.195694622860065e9,1.8972437494144852e9,1.4331611975629222e9,3.765785924500401e8,4.58032970866209e8,8.936119443836392e8,5.74532864772975e8,2.187047459744835e9,1.0734534660025272e10,3.755601740105686e8,1.4735342845421302e8,2.916646759025811e8,1.3202264131209153e8,3.979406401221505e9,2.2332952767587647e9,3.488638561759087e9,9.861452893126922e8,3.6296783998237047e9,3.3905317838834964e7,2050,GenX,0.1,full-base-1000
cNSE,23023645.8,16210.208191402215,15809.050055806802,15549.014984284595,15716.596693255453,5.981186600594845e6,15797.706203347208,15596.651916399218,15722.48295729791,16503.159190488164,1.6666486622686803e7,15605.817535226633,14816.915076736079,15015.453553021258,15306.874624135073,16603.205641050674,16118.4862499189,15706.042046598563,14838.999142493478,14721.466130582152,15697.50484495661,15718.386271088642,15963.657012337395,15558.170300937878,15799.150867927887,17280.627559446482,14316.98336556859,2050,GenX,0.0,full-base-1000
cStart,7890478801.6,1.4574773351836944e8,3.36813077450321e8,3.2785434860978776e8,7.062548978074019e8,2.483232822216898e8,3.8218019139847445e8,2.203761563442999e8,3.5199422820052725e8,3.418952416334364e8,2.5509920525450316e8,4.620209110739314e7,4.246871829465388e7,3.213060516052448e7,4.675051404388934e7,1.9822345836837944e8,1.6634376361043756e9,8.674058648516893e7,1.6221690221870134e7,4.935419255459063e7,3.819629031765193e7,5.060643746826309e8,3.82962933402658e8,6.237888376043442e8,1.529983762856251e8,6.764634943749183e8,1.1936640195306124e7,2050,GenX,0.0,full-base-1000
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2050,GenX,0.0,full-base-1000
cNetworkExp,16346118574.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2050,GenX,0.0,full-base-1000
cUnmetPolicyPenalty,29580183821.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2050,GenX,0.1,full-base-1000
cFix,3725093784628.8,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.7,full-base-1000
cNSE,3825676393.3,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,full-base-1000
cNetworkExp,197290455066.6,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,full-base-1000
cStart,140897567154.5,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,full-base-1000
cUnmetPolicyPenalty,193623771947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,full-base-1000
cUnmetRsv,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,full-base-1000
cVar,1093561129980.4,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.2,full-base-1000
cFix,63143985139.5,2.29859191595e9,9.066425867900001e8,8.3669315881e8,1.7456261446099997e9,1.8121683765700002e9,4.1021475123400006e9,1.42603296974e9,2.3984153641999993e9,3.512411550119999e9,2.3936985728499994e9,1.0428119039999999e8,1.3889036028900003e9,2.4911861902500005e9,1.2140547335800004e9,4.05252797136e9,4.425162753119999e9,2.17659092606e9,1.3255741336200001e9,1.6458419155400002e9,2.15833719815e9,4.3325352196e9,4.272997678279999e9,3.08539017707e9,2.5856722740099993e9,5.37248427638e9,1.0800167472e9,2027,SWITCH,0.5,full-base-1000
cVar,59817006376.2,1.2716887639608204e9,1.6976641684047387e9,1.7308258095004003e9,6.280296133404544e9,2.0730914524633322e9,1.613395632276862e9,1.7305614139236288e9,3.666083566543214e9,2.1350966707761064e9,1.0422238804829022e9,7.155789050743445e8,1.0990084999171557e9,1.7674384595195107e9,1.7372367175293956e9,5.678614210144084e9,5.275732624543409e9,3.941608027545448e8,6.237229253725064e8,2.929016876769004e8,1.2229155414497242e9,3.380850006483216e9,2.861515817525014e9,4.655277983868777e9,1.7897637141797743e9,4.593683695646396e9,4.876772928058789e8,2027,SWITCH,0.5,full-base-1000
cNSE,88774154.7,19686.91043534252,19631.841122924598,19971.91204734344,20065.605661601352,8.780449743804224e7,19675.754952405474,19408.891529721786,19998.591385725296,19809.03978768431,19961.464491513172,496752.61341751344,19328.47868792039,19509.267439055573,19554.8302722619,20261.036189699418,19934.62315415537,19296.105667475964,19021.97954544043,18533.019510302118,19508.74577602574,19827.278941624114,19899.76256930113,20082.73007244323,20044.634169868903,20828.144278731455,19063.96651712723,2027,SWITCH,0.0,full-base-1000
cStart,633249654.6,4.51122493886301e6,1.830412691309359e6,3.2187053189784437e6,6.5422422317468235e6,7.248791518852057e6,4.839584963207873e7,9.807323705185402e6,9.780686241559103e6,9.927772648385867e7,914475.1831714277,4.117965141710098e6,841488.1685543851,1.6698498338857569e7,2.748655850916448e6,2.558991232397511e7,3.815479114077557e7,1.0096086229183644e7,2.7519360087173536e7,1.6768750183395412e7,4.6779416929336175e7,1.9462987194296233e7,9.507730833017454e6,8.865885570986448e6,6.021064846260955e6,1.9099986694143602e8,1.7549756879773263e7,2027,SWITCH,0.0,full-base-1000
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,SWITCH,0.0,full-base-1000
cNetworkExp,397235967.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,SWITCH,0.0,full-base-1000
cUnmetPolicyPenalty,2180183.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,SWITCH,0.0,full-base-1000
cFix,130150544072.5,3.73204220695e9,2.5489745312999997e9,2.62174538089e9,7.75868722779e9,5.09199762035e9,6.937775859730001e9,3.52730033904e9,4.270358697399999e9,7.623552623040001e9,4.77074586294e9,9.066346379999998e7,3.73194199729e9,2.80684444291e9,3.1422152706099997e9,7.220671721579999e9,1.0849260270970001e10,3.86743405822e9,2.5965013236700006e9,2.33973145368e9,6.63679206129e9,7.241396946969999e9,7.297040864669998e9,7.17133354437e9,4.45672040782e9,9.716369705899994e9,2.1024461893500001e9,2030,SWITCH,0.7,full-base-1000
cVar,36247003280.5,3.2065284184879196e8,1.2482483313621202e9,1.1327378007231374e9,4.482525694420852e9,1.0326012874392681e9,1.3890728633613012e9,1.0027909343087133e9,1.4711049140098755e9,9.618189099121234e8,2.280779191740877e8,2.1806325507298592e8,5.599223397133596e8,1.1748124880890763e9,8.97787328168107e8,3.04694081557477e9,5.185453846937119e9,6.452093491634754e7,1.572713851456673e8,7.9053604082592e7,3.380124438128954e8,2.8160001844892716e9,1.4511910253092065e9,3.439657913589612e9,6.271563776554817e8,2.7229060998936734e9,1.9862174148874468e8,2030,SWITCH,0.2,full-base-1000
cNSE,29990187.0,19399.35697626368,19359.60365483308,19479.67977351973,19534.76306036825,2.9504515485229064e7,19357.34242686061,19445.197402847418,19334.988078530816,19390.083770354882,19386.785858221152,19894.838373550247,19573.496725340716,19454.83205591899,19603.685331325778,19795.200466595794,19445.80257727388,19176.775310752895,19272.494012144987,19202.453596005547,19265.844744433944,19447.505780404834,19406.77410248893,19443.61114154701,19351.36859198859,19459.06937912755,19189.917590022695,2030,SWITCH,0.0,full-base-1000
cStart,4604461155.1,5.907720316401598e7,1.2574344351348275e8,1.2968973115484115e8,6.046097667639079e8,1.3989927376393887e8,1.5789289133751297e8,1.2279353334917226e8,2.1841298970907044e8,1.6063833107064566e8,2.238553602874922e7,5.888323408054868e7,5.291377077999715e7,8.550055694927008e7,1.2743166412027219e8,4.8045305648182577e8,5.740993405188324e8,1.6533917469433501e7,1.950096870735643e7,1.3172060324881881e7,7.507872032151267e7,2.113561294895452e8,1.6554293182688177e8,4.273970108060552e8,6.700929057801497e7,4.42878515334226e8,4.556728741360606e7,2030,SWITCH,0.0,full-base-1000
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,SWITCH,0.0,full-base-1000
cNetworkExp,5864936192.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,SWITCH,0.0,full-base-1000
cUnmetPolicyPenalty,4463301810.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,SWITCH,0.0,full-base-1000
cFix,167748705014.3,5.29458976994e9,3.6567905031399994e9,4.59275080499e9,9.474923063189999e9,7.578664153650001e9,8.944029793189999e9,4.247185947069999e9,5.276597115610001e9,1.0024353194819998e10,6.1604019015e9,9.582810622999999e7,4.712652594639999e9,3.5036531907900004e9,3.7589089203099995e9,7.479245382559999e9,1.65125205894e10,5.529165765309999e9,2.82742159415e9,2.6662318422799993e9,7.948257761879999e9,8.55450897755e9,8.850376617829996e9,9.177896982349998e9,5.13213992796e9,1.3348699892439997e10,2.4009106215100007e9,2035,SWITCH,0.7,full-base-1000
cVar,47357849510.2,3.1637848507798004e8,1.743330307233882e9,2.2414788710268836e9,5.274355213092085e9,1.145764929257947e9,2.347514518400989e9,1.2991515188623443e9,2.1105582113361676e9,1.8996903415428567e9,3.483271320296114e8,1.082746365220085e8,4.2936884608859265e8,1.0564679461513063e9,7.777078285726228e8,2.251046535610631e9,9.235643609000746e9,5.075520192800981e7,1.399765061274105e8,7.717804228465246e7,2.3932512244528407e8,3.430432761797459e9,2.0501759312489607e9,4.2808898200473275e9,6.384168508033922e8,3.738305602332675e9,1.2733474138046321e8,2035,SWITCH,0.2,full-base-1000
cNSE,302734520.6,24612.613871744663,25159.21994228764,25633.888405458485,26710.457916403433,2.848850962611927e8,25301.977733797034,25894.537976162166,25418.445065677093,1.401970655161282e7,25602.16223976393,287202.33453834854,24838.58160377146,25580.25531800269,24943.895596421495,26038.981274026886,25414.3947134277,23932.67535286289,24441.68224190092,23996.070087103253,24915.02775135112,2.9857610805769367e6,25748.048631326168,25765.254448250937,25625.392170430372,26892.56470530515,24288.20044976677,2035,SWITCH,0.0,full-base-1000
cStart,7857723786.0,1.0429223334333108e8,2.4492310320648345e8,3.4207908967631805e8,8.7124749747391e8,2.5471995913184425e8,3.6646024763912356e8,1.917052154357999e8,3.95954504438674e8,3.504764753711545e8,6.917681375007181e7,6.93283449421162e7,6.176950513439771e7,9.37487507325969e7,1.8374967639085147e8,5.412047306231022e8,1.228851974915071e9,2.2757382671241302e7,2.1443033248316925e7,1.2911074973269483e7,8.807002708219808e7,4.1280758765290993e8,3.1768648180130076e8,7.100195889933167e8,1.209407877128367e8,7.378608389029369e8,4.353886071221271e7,2035,SWITCH,0.0,full-base-1000
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,SWITCH,0.0,full-base-1000
cNetworkExp,8519042117.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,SWITCH,0.0,full-base-1000
cUnmetPolicyPenalty,7488464539.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,SWITCH,0.0,full-base-1000
cFix,197669342061.5,6.556503249749999e9,4.34413750002e9,6.6775849535e9,1.1401195375640001e10,1.037910420851e10,9.89492199364e9,4.538276295369999e9,6.197950102690001e9,1.236565980678e10,7.68924578111e9,2.7366708209000003e8,4.931500938160002e9,3.702605518799999e9,4.164009257580002e9,7.64755183532e9,2.027755117007e10,6.222787771609999e9,3.2232224440899997e9,3.040895712669999e9,8.767018664869999e9,9.470395613910002e9,9.986508473319998e9,1.062803285342e10,6.5146310043e9,1.6067524775379997e10,2.7068596788699994e9,2040,SWITCH,0.7,full-base-1000
cVar,52957009358.2,2.510841280039304e8,2.180090744826718e9,2.733860808527395e9,5.490455229526081e9,1.82398970248596e9,2.5921343209011307e9,1.4481530496597977e9,2.338973332800515e9,2.2227920629899044e9,7.41720283397521e8,6.246424613901641e7,3.655198882514458e8,1.0425227306031677e9,5.96667249580168e8,1.689437730744103e9,1.1447541627303333e10,3.333863870757352e8,1.35418382355936e8,7.459406254611959e7,1.6214758528050053e8,3.8780917301856627e9,2.242183148910729e9,4.321490305707521e9,6.030391064986992e8,4.1047321452009892e9,7.451936861465538e7,2040,SWITCH,0.2,full-base-1000
