Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,planning_year,model,percent_total,case
cNSE,52434980.0,11546.51970790376,11598.254397875759,11641.712603761089,11586.543093939728,5.214586548519877e7,11538.492908033986,11537.90373900133,11501.757226865113,11510.962331379527,11617.53897957284,11759.617499078908,11571.401546194751,11619.700959615639,11604.32798100411,11636.62465638839,11659.416403975963,11371.101998338116,11418.442671656689,11405.186027147174,11454.620591200402,11553.610322516895,11587.159322836818,11623.87122442821,11591.707293030064,11600.062406475681,11578.025875146632,2030,GenX,0.0,full-base-200
cStart,3622870242.6,4.205817282231693e7,9.673392902014615e7,1.017065782924296e8,4.969240898258603e8,9.914253001414451e7,1.1904533793586352e8,9.301465960171482e7,1.8215113956276357e8,1.1585585914368524e8,1.7225522824852455e7,4.304611932462185e7,3.954084821858531e7,6.867057499718963e7,8.052478548356912e7,4.091777413770148e8,4.346887174835008e8,1.1476883678635027e7,1.472344225115672e7,1.0663432212891094e7,6.187373308855129e7,1.6342305623024654e8,1.3447032284856778e8,3.3872899325649714e8,4.7352442304410204e7,3.6332859947624767e8,3.7322731360876895e7,2030,GenX,0.0,full-base-200
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,GenX,0.0,full-base-200
cNetworkExp,6004463898.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,GenX,0.0,full-base-200
cVOM,7393941283.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2030,GenX,0.0,full-base-200
cCO2,38090655765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2030,GenX,0.2,full-base-200
cFix,167125258835.9,5.33721065062e9,3.59701459904e9,4.35101545416e9,9.382475353789997e9,7.434218229070001e9,8.801911252789997e9,4.22432229567e9,5.12709503609e9,1.0190980050560001e10,6.1181335882699995e9,9.745675817999998e7,4.73594322788e9,3.33505079697e9,3.732268069129999e9,7.20850870645e9,1.6628972221659998e10,5.669542282099999e9,2.8789889288599997e9,2.76679415023e9,8.4357907782699995e9,8.48328605707e9,8.78196693164e9,9.046269924510002e9,5.001544318940001e9,1.306990927806e10,2.68858989594e9,2035,GenX,0.6,full-base-200
cVar,36784106384.1,3.0492656644763863e8,1.757091080522153e9,2.24258910329447e9,5.347799539213127e9,1.177456467880525e9,2.327892848421288e9,1.3800832146623645e9,2.041242979628411e9,1.7464663285676334e9,3.2234485190002584e8,1.5530097237474394e8,4.5300484318771523e8,1.0592108023252183e9,6.460846833326819e8,2.4141491683638344e9,9.41889654439543e9,4.2658205285461694e7,1.381384523926406e8,7.80345511786511e7,2.4587530201045096e8,3.472832934358079e9,2.0736451157714343e9,4.1593623221946154e9,5.941646755792016e8,3.732941726997349e9,1.2881525754418924e8,2035,GenX,0.1,full-base-200
cNSE,297924405.8,10720.558669878163,10623.470986898996,10579.7313718216,10352.069190539367,2.86869584708948e8,10178.219292810636,10384.402579704329,10094.206460273163,10290.236579600201,10852.356836764775,1.0804992072870502e7,10853.304235471274,10995.499907783866,10524.177008153849,10400.00584939375,10779.66995913437,9686.850790033983,9991.948745917573,10008.731807274715,10019.848606821444,10205.087058947933,10368.13818073607,10294.14601551375,10489.888271828739,10230.223353079882,10906.247323716625,2035,GenX,0.0,full-base-200
cStart,6539237150.8,9.043111609139293e7,1.9820472845936638e8,3.172218808003573e8,7.7852701937178e8,1.901146492135267e8,2.785880198528489e8,1.5745516297456616e8,3.2982566323217404e8,2.8068419497654974e8,5.211372168538231e7,6.16987610524043e7,5.0412021140745364e7,7.849553836815222e7,1.3117421768522422e8,5.010870014064734e8,9.43775268649869e8,1.5970901632780595e7,1.8795730984478112e7,1.2224103834458636e7,7.794823468256894e7,3.5611941218199104e8,2.6856625320472956e8,6.10559031399681e8,8.916502000856519e7,6.134325608643612e8,3.664693707050495e7,2035,GenX,0.0,full-base-200
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,GenX,0.0,full-base-200
cNetworkExp,8669693950.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,GenX,0.0,full-base-200
cVOM,10676902153.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2035,GenX,0.0,full-base-200
cCO2,27485624710.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2035,GenX,0.1,full-base-200
cFix,188702483491.0,6.259196068630001e9,4.0693113934799995e9,5.739882038560001e9,1.0544424750050001e10,9.963487794800003e9,9.60498458896e9,4.397854546820001e9,5.6539897382e9,1.1921726067470001e10,7.53907754642e9,2.3944675122999996e8,4.89972727812e9,3.49067608164e9,4.0285927894499993e9,7.03158589497e9,1.9200736741989998e10,6.1625539337300005e9,3.18381453176e9,3.0706858534300003e9,9.024443678859999e9,9.128097913270002e9,9.62980763584e9,9.97278789286e9,6.015844677999999e9,1.505996960998e10,2.86977769247e9,2040,GenX,0.7,full-base-200
cVar,41796017915.4,3.285880026955987e8,2.200179412018776e9,3.301462440820107e9,5.752881574044196e9,1.072424643741446e9,2.579514903656153e9,1.5378628458739016e9,2.3262633545989323e9,2.152923852111002e9,8.079738505573735e8,1.393304326598325e8,4.205454342907052e8,1.0294781186050497e9,5.877287128558706e8,2.0802320727451463e9,1.1524213821199804e10,2.974794379400787e8,1.3692648320350406e8,8.379786784256658e7,2.1725141501668715e8,3.8900283869417176e9,2.235671178865783e9,4.423507971933165e9,6.571612338472569e8,4.1401980941977067e9,1.069935133397409e8,2040,GenX,0.1,full-base-200
cNSE,451212403.4,12717.980529849425,12403.22768655213,12420.20459661371,12130.974356188708,4.207820215336128e8,12189.559610621647,13017.167326722329,11894.478301979882,11985.701941430561,1.8820807619021136e7,1.132712851781381e7,12873.69730341927,13158.762594264228,12444.366300289066,11953.348202300673,12153.954840591115,12191.908765962793,11809.066711927711,11735.208382195575,11741.56727296829,12304.151936902177,12052.982795107107,11858.412936611747,12501.927894208535,11897.756155402129,13009.35202905552,2040,GenX,0.0,full-base-200
cStart,9314179407.7,1.4735955748571217e8,3.912513381100818e8,7.112511469835843e8,1.028166346758638e9,1.7001054962249228e8,3.8659537626117456e8,2.0584194683703163e8,4.6236553672961414e8,4.114719844219041e8,1.5787278398501197e8,5.986183979813086e7,5.67568055167079e7,1.0125762695764002e8,1.5107492028545016e8,5.3578744560627675e8,1.3172857206973004e9,8.365142661618361e7,2.53968276158429e7,1.685933750846549e7,9.94227882841543e7,5.072301781495342e8,3.8955384538735604e8,8.015286977231007e8,1.731970403120311e8,8.762986222458346e8,4.682971779723206e7,2040,GenX,0.0,full-base-200
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2040,GenX,0.0,full-base-200
cNetworkExp,10552786283.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2040,GenX,0.0,full-base-200
cVOM,12234601140.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,GenX,0.0,full-base-200
cCO2,25738724445.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,GenX,0.1,full-base-200
cFix,214111509857.5,7.519982300969999e9,5.0555071447e9,7.09803217063e9,1.160801103266e10,1.1165886259669998e10,1.0442410135119999e10,4.79653735319e9,6.368303179790001e9,1.3689684975770004e10,9.06972612938e9,3.7233773567e8,5.28572621426e9,3.5834466193800006e9,4.57553019254e9,7.7561715162300005e9,2.1397028693809998e10,7.400397874610002e9,3.3845224884000006e9,3.47342786355e9,1.013314784846e10,1.005788043403e10,1.090170074031e10,1.154211997308e10,7.4263739717699995e9,1.687454812018e10,3.133068889390001e9,2045,GenX,0.7,full-base-200
cVar,47780023382.1,3.164254671503032e8,2.859801054372043e9,4.129532541378937e9,6.563808782251621e9,1.07517489446314e9,2.8859105648086634e9,1.7581567313343146e9,2.7091107223065376e9,2.82948897575233e9,1.4442278535656917e9,1.3931503343554646e8,4.156774314482737e8,1.0288204969075638e9,5.768907916436075e8,1.942083780295817e9,1.3479316329573046e10,2.8932160484211236e8,1.4331632398617536e8,8.807789585095444e7,2.142084999628904e8,4.548556852950475e9,2.6174743546359243e9,4.795296904088892e9,6.553858535062617e8,4.500318166117244e9,1.0246233443074386e8,2045,GenX,0.1,full-base-200
cNSE,607414946.6,1.4227621925992839e7,22830.151382522276,22942.997192079805,22729.013628916127,4.750913641240146e8,22780.978173097512,22768.520368019723,22527.25877395602,1.7921813132615017e6,1.0014522904295287e8,1.5680643545038642e7,22983.913744865757,23025.253080021233,22831.814720513765,23049.62807232713,22923.400628401978,22563.574355443423,22481.562048751868,22145.031453060004,22657.075742924604,22806.1212536359,22714.71277073141,22697.689841446998,22859.031813359456,22814.695706245067,22774.230882360283,2045,GenX,0.0,full-base-200
cStart,10733690883.7,1.3679316621101e8,4.990415085237748e8,8.085566535994428e8,1.1836096366030169e9,1.6931122520993188e8,4.540404932778214e8,2.444487162053962e8,5.655411048097558e8,5.257461228898357e8,2.5971644048480728e8,5.4898915875898056e7,5.892825132138334e7,1.0650054489314649e8,1.550618067057126e8,5.057146529480142e8,1.4606844302729e9,8.713226110760105e7,3.0831215503239863e7,2.0325358853902485e7,1.0749744709315713e8,6.423657529317939e8,4.9211808142199004e8,9.536837619779608e8,1.6385458727391377e8,9.978059731702108e8,4.9482774521144934e7,2045,GenX,0.0,full-base-200
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2045,GenX,0.0,full-base-200
cNetworkExp,12405485594.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2045,GenX,0.0,full-base-200
cVOM,14328136858.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2045,GenX,0.0,full-base-200
cCO2,26986790270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2045,GenX,0.1,full-base-200
cFix,233758542150.0,8.58105291113e9,5.833203854370001e9,8.991505135140001e9,1.2737327483639997e10,1.1648528325469997e10,1.0984684522419998e10,5.10662471792e9,6.850033305789999e9,1.4584351964859995e10,1.0642835365690002e10,4.5985821737e8,5.568871038410001e9,4.02061225259e9,5.630491769139999e9,8.11054431807e9,2.223332307267e10,7.945107978909999e9,3.92440121629e9,3.8548156191500006e9,1.0501825611590002e10,1.1007488242770004e10,1.1833616305630001e10,1.2170885503580004e10,8.57015229161e9,1.846751446152e10,3.49888666426e9,2050,GenX,0.7,full-base-200
cVar,48406165612.3,2.7316042653322005e8,2.963797311991365e9,4.0391862613200293e9,6.633934741336497e9,1.0356112964932805e9,3.282888658090865e9,1.8785780087216947e9,3.006288182726396e9,2.701967353654526e9,1.776299288981903e9,1.2237165460315634e8,3.09884785658082e8,1.2365585137988555e9,4.966805272195492e8,1.8159993121140935e9,1.3414066514295467e10,2.4815398535903376e8,1.3093703162996648e8,8.041870197824278e7,1.718231209750485e8,4.675381146412389e9,2.620629326454916e9,4.778166113302072e9,5.414006874981891e8,4.79038042357621e9,8.413868792641361e7,2050,GenX,0.1,full-base-200
cNSE,627506113.5,1.4880313226775564e7,36305.043505660244,36028.01833756084,36269.59827859087,3.923056198941481e8,35991.14317093182,1.515502627403442e6,35957.21940060935,2.8583118373758577e7,1.709634008839112e8,3.1941790843636845e6,36757.17788844301,36318.98518801178,36547.403191750636,36715.338867415354,36271.50130823135,36722.24314261734,35843.89657942107,35759.84154328074,36115.87443035988,36345.46129142036,36007.825589064865,36005.52811406321,36216.56938155633,1.5375136454464694e7,36664.328608920274,2050,GenX,0.0,full-base-200
cStart,10357624842.1,1.0558975284155628e8,5.292795691773358e8,6.817083270232455e8,1.2840179378993993e9,1.5706708497350684e8,4.6869773033037513e8,2.3431877170453304e8,5.80841094119781e8,4.3126907625999933e8,2.8411727816586864e8,4.229708878414058e7,4.5313343816560246e7,1.2490965268502252e8,1.0241946635505445e8,4.2367712865195465e8,1.401917242526823e9,6.725419828762597e7,2.1032162261584256e7,1.4676022711854605e7,8.604467443285884e7,6.748612424959372e8,4.678628552583537e8,1.0144437009011395e9,9.793056312481731e7,9.723625911585184e8,4.371628617395189e7,2050,GenX,0.0,full-base-200
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2050,GenX,0.0,full-base-200
cNetworkExp,13012502216.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2050,GenX,0.0,full-base-200
cVOM,14702536450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,GenX,0.0,full-base-200
cCO2,23804431064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,GenX,0.1,full-base-200
cCO2,1158864521628.9,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.2,full-base-200
cFix,3475451837423.2,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.6,full-base-200
cNSE,7550320683.3,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,full-base-200
cNetworkExp,177090259455.8,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,full-base-200
cStart,144032423595.8,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,full-base-200
cUnmetRsv,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,full-base-200
cVOM,240162791117.9,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.0,full-base-200
cVar,903299899473.1,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,GenX,0.1,full-base-200
cFix,63208476503.0,2.3129343496e9,9.060959046999999e8,8.3636814155e8,1.7452409120000002e9,1.81316556783e9,4.11837169629e9,1.4257561250999997e9,2.39601569484e9,3.5097799093e9,2.3933685503799996e9,1.0428119039999999e8,1.38848812856e9,2.4908107419e9,1.2132972329000003e9,4.0518072920799994e9,4.424984023999998e9,2.18416165749e9,1.3264134819399998e9,1.6535074796200001e9,2.1668690851499996e9,4.33770425483e9,4.2731519042799993e9,3.0849679160999994e9,2.59000685139e9,5.380911663530001e9,1.0800167472e9,2027,SWITCH,0.2,full-base-200
cVar,50976974762.2,1.264006907440498e9,1.6941361144882784e9,1.7284922647055395e9,6.279839862367059e9,2.0718616941322775e9,1.611362556716737e9,1.7300502220283551e9,3.664031283669534e9,2.1315756770223796e9,1.0419675636534635e9,7.152877449385058e8,1.0986458773384168e9,1.7655912337664654e9,1.7351155148051336e9,5.678776646898937e9,5.2749591923624e9,3.9182338802258325e8,6.235328067439578e8,2.921532016856855e8,1.218756791475969e9,3.3743524892434006e9,2.860297318461904e9,4.653115285396156e9,1.7818121533216062e9,4.585504348875546e9,4.870052467492208e8,2027,SWITCH,0.2,full-base-200
cNSE,88885826.1,27089.132861720293,27030.429424916714,27056.491357214927,27873.434296866777,8.773110437377259e7,27138.893218222518,27299.99488799386,27664.329540523107,27573.450066028396,27142.836410593794,499992.632902496,27032.0256741462,27208.53692280313,27152.300935171,27491.06444416704,27221.310961656603,27027.79157517385,27225.262168074365,27057.583953285586,27231.986181654123,27114.20091419754,27274.317598144597,27388.903009260157,27638.48672882945,27698.63065113974,27097.72877913827,2027,SWITCH,0.0,full-base-200
cStart,636162260.8,4.624959017823339e6,1.947297731533792e6,3.3722751790272207e6,6.709221929483671e6,7.346589299359542e6,4.855557457051876e7,9.776614652079474e6,9.839770678688064e6,9.92940965617918e7,1.0071106602881263e6,4.240045075724611e6,886626.0016420742,1.6762303488022689e7,2.880096421835028e6,2.559718983793502e7,3.801813268770979e7,1.025411424568216e7,2.7665915837778445e7,1.6930822563027617e7,4.6957087948317066e7,1.9400078600229714e7,9.582660659073872e6,8.909235218895016e6,6.181483111698435e6,1.91787944785017e8,1.7635014004662067e7,2027,SWITCH,0.0,full-base-200
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,SWITCH,0.0,full-base-200
cNetworkExp,396022255.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,SWITCH,0.0,full-base-200
cVOM,8777078624.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2027,SWITCH,0.0,full-base-200
cCO2,174061077376.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2027,SWITCH,0.6,full-base-200
cFix,129428981314.5,3.7280107474000006e9,2.5436046982999997e9,2.5961622657000003e9,7.71099152011e9,5.07390191388e9,7.03459442087e9,3.51812881427e9,4.2691055649e9,7.60858870936e9,4.75916068089e9,9.066346379999998e7,3.70934411773e9,2.755007919e9,3.08563274829e9,7.21322216211e9,1.0870085716289999e10,3.8697320568399997e9,2.45354315567e9,2.1524277547000003e9,6.67111465801e9,7.184450463570001e9,7.2862769015e9,7.108784346750001e9,4.422998761349999e9,9.63571825735e9,2.07772949583e9,2030,SWITCH,0.6,full-base-200
cVar,29314020294.1,3.271776534556271e8,1.2309462976258307e9,1.1565222847990198e9,4.556822828867739e9,1.0171218176006404e9,1.4565932930736053e9,1.0362612752619275e9,1.5694340346331174e9,1.0079555604845985e9,2.1436134271816805e8,2.521441063977387e8,5.860251138462367e8,1.1766305666550756e9,7.675261900328647e8,3.1840127264766603e9,5.328154209889256e9,5.692929607125895e7,1.5381183550728843e8,7.856479645267376e7,3.4125870267241454e8,2.8637478176100025e9,1.4503021615975142e9,3.410053830031199e9,6.142959065236241e8,2.845453086464935e9,2.0582133613732487e8,2030,SWITCH,0.1,full-base-200
cNSE,23135969.6,10682.540296822921,10178.985330055148,10600.569165074281,11059.103176694927,2.286955022547443e7,10443.195549069138,10515.459789684515,10564.313888588355,10461.429775070908,10717.754656165194,10979.735144609034,10699.161520786985,10900.224995947821,10885.290990049507,10920.771069359296,10621.829733325674,10209.140802085849,10680.361232828123,10330.472383088136,10694.744639933806,10611.944982287661,10724.857105872734,10742.841657212239,10440.344572170283,11067.364329175454,10686.905144385957,2030,SWITCH,0.0,full-base-200
cStart,3759129016.7,4.35313350481925e7,1.0093592397672732e8,1.0964236828718421e8,5.0420806118840826e8,1.0255378223826982e8,1.2920644510424194e8,9.504630408529527e7,1.93155815128048e8,1.3834087366927063e8,1.7779735644744724e7,4.3061457883461684e7,3.93966559276177e7,6.841789285004623e7,8.49142589966134e7,4.2175442492332864e8,4.435003386223837e8,1.1268788019492328e7,1.4940633058416815e7,1.0041522857252156e7,6.281458566429961e7,1.6918929437095478e8,1.3863315525484002e8,3.5477218561743796e8,4.838893589441495e7,3.7418796870028484e8,3.944627366696083e7,2030,SWITCH,0.0,full-base-200
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,SWITCH,0.0,full-base-200
cNetworkExp,5792646013.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2030,SWITCH,0.0,full-base-200
cVOM,7573907776.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2030,SWITCH,0.0,full-base-200
cCO2,38022173300.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2030,SWITCH,0.2,full-base-200
cFix,167424317567.3,5.307545347759999e9,3.65518847827e9,4.57662260594e9,9.47012434072e9,7.59221869842e9,8.95088340554e9,4.24874333879e9,5.241760308549999e9,9.995908247199999e9,6.173615225999999e9,8.847819039999999e7,4.69572049515e9,3.4589147779500003e9,3.7384433673300004e9,7.45997239147e9,1.653127502591e10,5.371478763359999e9,2.8858410253999996e9,2.63733803407e9,7.9504979829800005e9,8.546030543200001e9,8.84596728867e9,9.113346320630001e9,5.17927214215e9,1.3341634241440002e10,2.36749698003e9,2035,SWITCH,0.6,full-base-200
cVar,37104937573.7,3.039028259104884e8,1.7720708058679976e9,2.2063654109501996e9,5.305389019345287e9,1.1426402688456702e9,2.4399578812413344e9,1.330262874601517e9,2.164888317379735e9,1.948087289672726e9,3.4847067746207845e8,1.3171222818828465e8,4.45631913706783e8,1.0517478999376864e9,6.449326582862636e8,2.3974652263110695e9,9.490738421619211e9,3.91989578281977e7,1.3283002713049126e8,7.515632192250335e7,2.4464864241208863e8,3.4282600720660095e9,2.0580568477416477e9,4.291066564938262e9,5.888643892980553e8,3.8140695166063347e9,1.301628139911636e8,2035,SWITCH,0.1,full-base-200
cNSE,238640779.3,6433.629554665383,6409.288132452678,6502.5147349518365,6675.043667518358,2.380323846402912e8,6519.729297523056,6948.759986425008,6513.130640542334,6593.493223968688,6413.864050271211,450514.3684621303,6781.423335211753,6672.544005028892,6730.81735615298,6688.921873886069,6381.032315836413,6402.592310327936,6764.850685627814,6645.376816393367,6534.438941636785,6429.052101370741,6537.915605919718,6409.51764129155,6486.797038064292,6563.881164781408,6841.637796499971,2035,SWITCH,0.0,full-base-200
cStart,6690671837.2,9.302538688445209e7,2.07547769401788e8,3.230546942169415e8,7.817315841816748e8,1.8265274336066085e8,2.9603879731472826e8,1.5921415437537602e8,3.502251068505013e8,3.083166849507186e8,5.721077986604529e7,5.9628483914812915e7,5.00691240250613e7,7.866726137832718e7,1.3280583102878174e8,5.145532921877018e8,9.553249603122169e8,1.6400423520157574e7,1.8438409609714083e7,1.1531727816021875e7,8.101448893757392e7,3.586725867850349e8,2.7430473601143914e8,6.151535365251101e8,9.102057081633587e7,6.350992755551405e8,3.89694273554085e7,2035,SWITCH,0.0,full-base-200
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,SWITCH,0.0,full-base-200
cNetworkExp,8498787325.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2035,SWITCH,0.0,full-base-200
cVOM,10821640299.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2035,SWITCH,0.0,full-base-200
cCO2,27170707842.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2035,SWITCH,0.1,full-base-200
cFix,189130036075.4,6.272306024199998e9,4.1183950822999997e9,6.051717627920001e9,1.0582714073130003e10,1.002080748924e10,9.642152070580002e9,4.41595981419e9,5.917574179210001e9,1.185397667739e10,7.572979511240001e9,2.6433257903000003e8,4.83828333628e9,3.51095729512e9,4.02832568847e9,7.368314887660001e9,1.9088856090809998e10,5.941158121039999e9,3.15185266687e9,2.93572707428e9,8.379234063400002e9,9.17604153555e9,9.65415181707e9,1.0288576145e10,6.104794317459999e9,1.5339670278430002e10,2.6111776294900002e9,2040,SWITCH,0.7,full-base-200
cVar,42072623871.6,3.19091072834549e8,2.278327703928583e9,3.2108092934376636e9,5.748724399657007e9,1.0685403491155894e9,2.6820410121575694e9,1.4857770138561165e9,2.4463129479835744e9,2.3273383182514777e9,8.651276335311877e8,1.2565865298981611e8,4.1880768739232934e8,1.0258690018328362e9,5.900533826660551e8,2.090667693603854e9,1.1513278933217066e10,3.0086715348487437e8,1.3315883477347751e8,8.083247080620737e7,2.2256183743299738e8,3.879417177359015e9,2.222785597912446e9,4.400944069625359e9,6.472260233136764e8,4.213488227487276e9,1.0914481750897524e8,2040,SWITCH,0.1,full-base-200
